ClassNum,ClassName,CrHr
AAA1,New Student Orientation,0
AGR102,Introduction to Agriculture,3
AGR105,Range Management,3
AGR109,Intro to Agriculture Lab,1
AGR121,Industrial Hemp Production,3
AGR135,Introduction to Crop Science,3
AGR204,Principles of Irrigation,3
AGR205,Landscape Plants for the SW,3
AGR208,Animal Science,3
AGR214,Soil Science,4
AGR230,Feeds and Feeding,3
AGR235,Introduction to Entomology,4
AGR237,Equine Science and Management,4
AGR243,Livestock Production & Mgmt.,3
AGR255,Agriculture and the Environmnt,3
AJS101,Intro to Admin of Justice,3
AJS109,Substantive Criminal Law,3
AJS126,Ethics and Criminal Justice,3
AJS224,Field Experience in AJS,1
AJS225,Criminology,3
AJS230,The Police Function,3
AJS240,The Correction Function,3
AJS275,Criminal Investigations,3
AMT210,UAS Fundamentals,6
AMT212,UAS Mechanical Maintenance,14
ANT101,"Bones,",4
ANT101,"Bones,4:30 PM",4
ANT102,Society and Culture,3
ANT110,Exploring Archaeology,3
ANT235,Principles of Archaeology,3
ANT286,Historic Native People of N.A.,3
ANT287,Archaeology of the Southwest,3
ART103,Two Dimensional Design/Comp,3
ART106,Drawing Foundations,3
ART107,"Sur of World Art,",3
ART108,Sur of World Art:Renaissance,3
ART120,Appreciation of Visual Arts,3
ART130,Paint for Personal Develop I,2
ART216,Intermediate Drawing,3
ART217,Advanced Drawing,3
ART231,Three Dimensional Design/Sculp,3
ART245,Figure Drawing,3
ART270,Ceramics I,3
ART273,Ceramics IIA,3
ART274,Ceramics IIB,3
ART275A,Ceramics III,3
ART280,Painting Foundations,3
ART281,Intermediate Painting,3
ART282,Advanced Painting,3
ART285,Beginning Photography,3
ART286,Intermediate Photography,3
ART290,Sculpture I,3
ART292,Advanced Topics in Art,0.5
ART292,Advanced Topics in Art-Mural,0.5
ASL101,American Sign Language I,4
ASL102,American Sign Language II,4
ASL201,American Sign Language III,4
ASL202,American Sign Language IV,4
AST180,Introduction to Astronomy,4
AUT101,Intro to Automotive Technology,3
AUT102,Automotive Elect. Fundamentals,3
AUT103,Internal Combustion Engines,3
AUT104,Automotive Brake Systems,3
AUT105,Automotive Suspension/Steering,3
AUT106,Automotive Manual Drive System,3
AUT112,Light Veh Diesel Engine Repair,3
AUT116,Lt Veh Diesel Intk & Exh Sys,3
AUT201,Automotive Elect. Sys/Equip,3
AUT204,Auto Transmiss/axle Diag/Rebld,3
AUT205,Auto Heating/Ventilation/AC,3
AUT206,Engine Performance,3
AUT220,Lt Veh Diesel Sys & Comp Ctrls,3
AVT211,UAS Avionics,7
BCT102,Carpentry Fundamentals,4
BCT109,Construction Safety,3
BCT113,Concrete,3
BCT114,Wall Coverings,3
BCT115,Exterior Finishing,3
BCT116,Roofing,3
BCT117,Floor Covering,4
BCT118,"Doors,12:45 PM",4
BCT122,HVAC I,4
BCT127,Blueprint Reading/Estimating,3
BCT201,Carpentry Framing & Finishing,4
BCT222,HVAC II,4
BCT223,HVAC III,4
BCT225,HVAC IV,4
BIO100,General Biology (non-majors),4
BIO105,Environmental Biology,4
BIO156,Intro Biology Allied Health,4
BIO160,Intro to Human A&P,4
BIO181,General Biology I (for majors),4
BIO182,General Biology II,4
BIO192,Spec Topics & Apps in Biology,1
BIO201,Human Anat & Phys I,4
BIO202,Human Anat & Phys II,4
BIO205,Microbiology,4
BIO226,Ecology,4
BUS104,Business Math,3
BUS109,Survey of Business,3
BUS123,Human Resource Management,3
BUS143,Principles of Management,3
BUS145,Principles of Marketing,3
BUS146,Introduction to Accounting,3
BUS160,Ess Workplace Success Skills,3
BUS167,Business Communications,3
BUS172,Quantitative Methods in Bus,3
BUS183,Starting a Business,3
BUS201,Financial Accounting,3
BUS202,Managerial Accounting,3
BUS219,Business Statistics,3
BUS224,Field Exp in Business Admin,1
BUS233,Legal Environment of Business,3
BUS245,Sem: Trends/Pract in Business,3
BUS251,Federal Income Taxation,3
BUS253,Tax Practice and Procedure,3
BUS283,Small Business Management,3
BUS285,Electronic Commerce,3
CHM130,Fundamental Chemistry,4
CHM151,General Chemistry I,4
CHM152,General Chemistry II,4
CHM235,General Organic Chemistry I,4
CHM236,General Organic Chemistry II,4
CIS116,Computer Essentials,3
CIS120,Intro to Information Systems,3
CIS128,Linux Operating System,4
CIS129,Intro to Programming Logic,1
CIS130,Programming Logic,3
CIS140,Intro to Operating Systems,3
CIS150,Essentials of Networking,3
CIS160,Intro to Information Security,3
CIS161,Network Security,4
CIS164,Intro Scripting Using Python,4
CIS179,Applied Technical Writing,3
CIS181,Computer Applications,3
CIS185,Internet Essentials,3
CIS204,C Programming,4
CIS206,Assembler with Architecture,4
CIS208,Java Programming,4
CIS217,Intro to Visual C#.NET Program,4
CIS220C,Data Structures-C,4
CIS220J,Data Structures-Java,4
CIS221,Digital Logic,3
CIS229,Linux System Administration,4
CIS236,Microsoft Wrkstation Op Systms,4
CIS245,Microsoft Server Active Direct,4
CIS250,Database Management,4
CIS255,Microsoft PowerShell Scripting,4
CIS259,Adv Linux Systems Admin,4
CIS260,Service & Maintenance of PCs,4
CIS262,Network Support & Trblshooting,4
CIS263,Network Defense,4
CIS267,Mobile Security,3
CIS268,Technical Presentations,3
CIS270,Systems Analysis,4
CIS275,Computer Forensics,4
CIS281,Advanced Computer Applications,3
CIS287,World Wide Web Development,3
CIS291,Pract Apps in Cybersecurity,4
CIS294,Field Exp in Computer Info Sys,1
CLD110,AWS Cloud Foundations,3
COM102,Essentials of Communication,3
COM110,Public Speaking,3
COM204,Elements of Intercultural Comm,3
CPD150,Connections for Success,3
CUL105,Nutrition in Food Service,3
CUL115,Food Service Sanitation,2
CUL116,Essential Culinary Skills I,2
CUL117,Essential Culinary Skills II,3
CUL204,Food Service Purchasing& Contr,3
CUL222,Adv Confections & Pastries I,3
CUL223,Adv Confections & Pastries II,3
CUL224,Field Exp in Culinary Arts,1
CUL242,Dining Service Management,3
CUL280,Adv Tech Gourmet Food Prep I,3
CUL281,Adv Tech Gourmet Food Prep II,3
CYB101,Introduction to Cybersecurity,3
CYB102,Networking Foundations,3
CYB103,Basic Operating Systems,3
CYB110,Intermediate Operating Systems,4
CYB125,Intro Scripting Cybersecurity,4
CYB201,Cybersecurity for Networking,4
CYB210,Scripting for Cybersecurity,4
CYB220,Digital Forensics/Incident Rsp,4
CYB260,Intro to Cloud Technologies,4
CYB275,Applied Cyber Operations,4
CYB290,Operational Cybersecurity,5
DFT150,Fundamentals of AutoCAD,3
DFT250,Advanced AutoCAD,4
DFT270,AutoCAD 3D,4
DMA110,Digital Imaging I,3
DMA111,Computer Animation I,3
DMA198A,Essentials Digital Media Arts,3
DMA210,Digital Imaging II,3
DMA260,Graphic Design I,3
DMA262,Digital Video Production,3
DMA263,Digital Video Production II,3
DMA266,Digital Photography,3
ECE150,Intro Early Childhd Care & Ed,3
ECE152,Observation/Behavior/Guidance,3
ECE155,Children's Language Dev,3
ECE156,Children's Lit & Literacy,3
ECE158,"Hth,",3
ECE160,Early Childhood Growth & Dev,3
ECE161,Understanding Fam/Commun/Diver,3
ECE170,Curr Dev Early Childhood Edu,3
ECE172,Teach Strat Early Childhood Ed,3
ECE173,Admin of ECE Programs,3
ECN201,Principles of Macroeconomics,3
ECN202,Principles of Microeconomics,3
EDU201,Introduction to Education,3
EDU205,Theoreticl Dynamics of Instruc,3
EDU222,Intro to Special Education,3
EDU224,Field Experience in Education,1
EDU226,Cultural Diversity-Education,3
EDU230,Classroom Relationships,3
EDU25,ASVAB Prep and Improvement,2
EDU298D,College Instruction,3
EGR102,Principles of Engineering,3
EGR122,Prog for Engineering & Science,4
ELT110,Mathematics for Electronics,3
EMT174,Emergency Medical Technician,8
EMT174,Emergency Medical Technician,9
ENG101,Composition,3
ENG102,English Composition,3
ENG119,Creative Writing,3
ENG219,Advanced Creative Writing,3
ENG220,British Literature I,3
ENG221,British Literature II,3
ENG224,American Literature I,3
ENG225,American Literature II,3
ENG228,Mythology and Folklore,3
ENG257,Lit Magazine Prod & Design,3
ENG260,Irish Literature,3
ENG95,Basic Writing,3
ENG96,Intermediate Writing,3
ESL10,ESL Grammar I,3
ESL12,ESL Reading I,3
ESL14,ESL Writing I,3
ESL16,ESL Oral Communication I,3
ESL20,ESL Grammar II,3
ESL22,ESL Reading II,3
